atc_name,concept_class_id,concept_code,name
ANTINEOPLASTIC AGENTS,ATC 2nd,L01,10473_thiotepa
ALKYLATING AGENTS,ATC 3rd,L01A,10473_thiotepa
Ethylene imines,ATC 4th,L01AC,10473_thiotepa
thiotepa; parenteral,ATC 5th,L01AC01,10473_thiotepa
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,10485_thioguanine
ANTINEOPLASTIC AGENTS,ATC 2nd,L01,10485_thioguanine
ANTIMETABOLITES,ATC 3rd,L01B,10485_thioguanine
Purine analogues,ATC 4th,L01BB,10485_thioguanine
tioguanine; oral,ATC 5th,L01BB03,10485_thioguanine
loteprednol and antiinfectives; ophthalmic,ATC 5th,S01CA12,105694_epoetin_alfa
"methylprednisolone and antiinfectives; ophthalmic, otic",ATC 5th,S03CA07,105694_epoetin_alfa
BLOOD AND BLOOD FORMING ORGANS,ATC 1st,B,105694_epoetin_alfa
ANTIANEMIC PREPARATIONS,ATC 2nd,B03,105694_epoetin_alfa
OTHER ANTIANEMIC PREPARATIONS,ATC 3rd,B03X,105694_epoetin_alfa
Other antianemic preparations,ATC 4th,B03XA,105694_epoetin_alfa
erythropoietin; parenteral,ATC 5th,B03XA01,105694_epoetin_alfa
BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,ATC 2nd,B05,105694_epoetin_alfa
IRRIGATING SOLUTIONS,ATC 3rd,B05C,105694_epoetin_alfa
Antiinfectives,ATC 4th,B05CA,105694_epoetin_alfa
antiinfectives - combinations; irrigating solution,ATC 5th,B05CA10,105694_epoetin_alfa
SENSORY ORGANS,ATC 1st,S,105694_epoetin_alfa
ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,ATC 3rd,S01C,105694_epoetin_alfa
Corticosteroids and antiinfectives in combination,ATC 4th,S01CA,105694_epoetin_alfa
dexamethasone and antiinfectives; ophthalmic,ATC 5th,S01CA01,105694_epoetin_alfa
prednisolone and antiinfectives; ophthalmic,ATC 5th,S01CA02,105694_epoetin_alfa
hydrocortisone and antiinfectives; ophthalmic,ATC 5th,S01CA03,105694_epoetin_alfa
fluocortolone and antiinfectives; ophthalmic,ATC 5th,S01CA04,105694_epoetin_alfa
betamethasone and antiinfectives; ophthalmic,ATC 5th,S01CA05,105694_epoetin_alfa
fludrocortisone and antiinfectives; ophthalmic,ATC 5th,S01CA06,105694_epoetin_alfa
fluorometholone and antiinfectives; ophthalmic,ATC 5th,S01CA07,105694_epoetin_alfa
methylprednisolone and antiinfectives; ophthalmic,ATC 5th,S01CA08,105694_epoetin_alfa
chloroprednisone and antiinfectives; ophthalmic,ATC 5th,S01CA09,105694_epoetin_alfa
fluocinolone acetonide and antiinfectives; ophthalmic,ATC 5th,S01CA10,105694_epoetin_alfa
clobetasone and antiinfectives; ophthalmic,ATC 5th,S01CA11,105694_epoetin_alfa
"Antiinflammatory agents, non-steroids and antiinfectives in combination",ATC 4th,S01CC,105694_epoetin_alfa
diclofenac and antiinfectives; ophthalmic,ATC 5th,S01CC01,105694_epoetin_alfa
OTOLOGICALS,ATC 2nd,S02,105694_epoetin_alfa
ANTIINFECTIVES,ATC 3rd,S02A,105694_epoetin_alfa
Antiinfectives,ATC 4th,S02AA,105694_epoetin_alfa
"antiinfectives, combinations; otic",ATC 5th,S02AA30,105694_epoetin_alfa
CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,ATC 3rd,S02C,105694_epoetin_alfa
Corticosteroids and antiinfectives in combination,ATC 4th,S02CA,105694_epoetin_alfa
prednisolone and antiinfectives; otic,ATC 5th,S02CA01,105694_epoetin_alfa
flumetasone and antiinfectives; otic,ATC 5th,S02CA02,105694_epoetin_alfa
hydrocortisone and antiinfectives; otic,ATC 5th,S02CA03,105694_epoetin_alfa
triamcinolone and antiinfectives; otic,ATC 5th,S02CA04,105694_epoetin_alfa
fluocinolone acetonide and antiinfectives; otic,ATC 5th,S02CA05,105694_epoetin_alfa
dexamethasone and antiinfectives; otic,ATC 5th,S02CA06,105694_epoetin_alfa
fludrocortisone and antiinfectives; otic,ATC 5th,S02CA07,105694_epoetin_alfa
OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,ATC 2nd,S03,105694_epoetin_alfa
ANTIINFECTIVES,ATC 3rd,S03A,105694_epoetin_alfa
Antiinfectives,ATC 4th,S03AA,105694_epoetin_alfa
"antiinfectives, combinations; ophthalmic, otic",ATC 5th,S03AA30,105694_epoetin_alfa
CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,ATC 3rd,S03C,105694_epoetin_alfa
Corticosteroids and antiinfectives in combination,ATC 4th,S03CA,105694_epoetin_alfa
"dexamethasone and antiinfectives; ophthalmic, otic",ATC 5th,S03CA01,105694_epoetin_alfa
"prednisolone and antiinfectives; ophthalmic, otic",ATC 5th,S03CA02,105694_epoetin_alfa
"hydrocortisone and antiinfectives; ophthalmic, otic",ATC 5th,S03CA04,105694_epoetin_alfa
"fludrocortisone and antiinfectives; ophthalmic, otic",ATC 5th,S03CA05,105694_epoetin_alfa
"betamethasone and antiinfectives; ophthalmic, otic",ATC 5th,S03CA06,105694_epoetin_alfa
indometacin and antiinfectives; ophthalmic,ATC 5th,S01CC02,105694_epoetin_alfa
BLOOD AND BLOOD FORMING ORGANS,ATC 1st,B,105695_epoetin_beta
ANTIANEMIC PREPARATIONS,ATC 2nd,B03,105695_epoetin_beta
OTHER ANTIANEMIC PREPARATIONS,ATC 3rd,B03X,105695_epoetin_beta
Other antianemic preparations,ATC 4th,B03XA,105695_epoetin_beta
erythropoietin; parenteral,ATC 5th,B03XA01,105695_epoetin_beta
loteprednol and antiinfectives; ophthalmic,ATC 5th,S01CA12,10627_tobramycin
"methylprednisolone and antiinfectives; ophthalmic, otic",ATC 5th,S03CA07,10627_tobramycin
BLOOD AND BLOOD FORMING ORGANS,ATC 1st,B,10627_tobramycin
BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,ATC 2nd,B05,10627_tobramycin
electrolytes; parenteral,ATC 5th,B05BB01,10627_tobramycin
electrolytes with carbohydrates; parenteral,ATC 5th,B05BB02,10627_tobramycin
IRRIGATING SOLUTIONS,ATC 3rd,B05C,10627_tobramycin
Antiinfectives,ATC 4th,B05CA,10627_tobramycin
antiinfectives - combinations; irrigating solution,ATC 5th,B05CA10,10627_tobramycin
combinations of electrolytes; parenteral,ATC 5th,B05XA30,10627_tobramycin
electrolytes in combination with other drugs; parenteral,ATC 5th,B05XA31,10627_tobramycin
ANTIINFECTIVES FOR SYSTEMIC USE,ATC 1st,J,10627_tobramycin
ANTIBACTERIALS FOR SYSTEMIC USE,ATC 2nd,J01,10627_tobramycin
AMINOGLYCOSIDE ANTIBACTERIALS,ATC 3rd,J01G,10627_tobramycin
Other aminoglycosides,ATC 4th,J01GB,10627_tobramycin
"tobramycin; inhalant, parenteral",ATC 5th,J01GB01,10627_tobramycin
SENSORY ORGANS,ATC 1st,S,10627_tobramycin
OPHTHALMOLOGICALS,ATC 2nd,S01,10627_tobramycin
ANTIINFECTIVES,ATC 3rd,S01A,10627_tobramycin
Antibiotics,ATC 4th,S01AA,10627_tobramycin
tobramycin; ophthalmic,ATC 5th,S01AA12,10627_tobramycin
combinations of different antibiotics; ophthalmic,ATC 5th,S01AA30,10627_tobramycin
ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,ATC 3rd,S01C,10627_tobramycin
Corticosteroids and antiinfectives in combination,ATC 4th,S01CA,10627_tobramycin
dexamethasone and antiinfectives; ophthalmic,ATC 5th,S01CA01,10627_tobramycin
prednisolone and antiinfectives; ophthalmic,ATC 5th,S01CA02,10627_tobramycin
hydrocortisone and antiinfectives; ophthalmic,ATC 5th,S01CA03,10627_tobramycin
fluocortolone and antiinfectives; ophthalmic,ATC 5th,S01CA04,10627_tobramycin
betamethasone and antiinfectives; ophthalmic,ATC 5th,S01CA05,10627_tobramycin
fludrocortisone and antiinfectives; ophthalmic,ATC 5th,S01CA06,10627_tobramycin
fluorometholone and antiinfectives; ophthalmic,ATC 5th,S01CA07,10627_tobramycin
methylprednisolone and antiinfectives; ophthalmic,ATC 5th,S01CA08,10627_tobramycin
chloroprednisone and antiinfectives; ophthalmic,ATC 5th,S01CA09,10627_tobramycin
fluocinolone acetonide and antiinfectives; ophthalmic,ATC 5th,S01CA10,10627_tobramycin
clobetasone and antiinfectives; ophthalmic,ATC 5th,S01CA11,10627_tobramycin
"Antiinflammatory agents, non-steroids and antiinfectives in combination",ATC 4th,S01CC,10627_tobramycin
diclofenac and antiinfectives; ophthalmic,ATC 5th,S01CC01,10627_tobramycin
OTOLOGICALS,ATC 2nd,S02,10627_tobramycin
ANTIINFECTIVES,ATC 3rd,S02A,10627_tobramycin
Antiinfectives,ATC 4th,S02AA,10627_tobramycin
"antiinfectives, combinations; otic",ATC 5th,S02AA30,10627_tobramycin
CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,ATC 3rd,S02C,10627_tobramycin
Corticosteroids and antiinfectives in combination,ATC 4th,S02CA,10627_tobramycin
prednisolone and antiinfectives; otic,ATC 5th,S02CA01,10627_tobramycin
flumetasone and antiinfectives; otic,ATC 5th,S02CA02,10627_tobramycin
hydrocortisone and antiinfectives; otic,ATC 5th,S02CA03,10627_tobramycin
triamcinolone and antiinfectives; otic,ATC 5th,S02CA04,10627_tobramycin
fluocinolone acetonide and antiinfectives; otic,ATC 5th,S02CA05,10627_tobramycin
dexamethasone and antiinfectives; otic,ATC 5th,S02CA06,10627_tobramycin
fludrocortisone and antiinfectives; otic,ATC 5th,S02CA07,10627_tobramycin
OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,ATC 2nd,S03,10627_tobramycin
ANTIINFECTIVES,ATC 3rd,S03A,10627_tobramycin
Antiinfectives,ATC 4th,S03AA,10627_tobramycin
"antiinfectives, combinations; ophthalmic, otic",ATC 5th,S03AA30,10627_tobramycin
CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,ATC 3rd,S03C,10627_tobramycin
Corticosteroids and antiinfectives in combination,ATC 4th,S03CA,10627_tobramycin
"dexamethasone and antiinfectives; ophthalmic, otic",ATC 5th,S03CA01,10627_tobramycin
"prednisolone and antiinfectives; ophthalmic, otic",ATC 5th,S03CA02,10627_tobramycin
"hydrocortisone and antiinfectives; ophthalmic, otic",ATC 5th,S03CA04,10627_tobramycin
"fludrocortisone and antiinfectives; ophthalmic, otic",ATC 5th,S03CA05,10627_tobramycin
"betamethasone and antiinfectives; ophthalmic, otic",ATC 5th,S03CA06,10627_tobramycin
electrolytes in combination with other drugs; parenteral,ATC 5th,B05BB04,10627_tobramycin
indometacin and antiinfectives; ophthalmic,ATC 5th,S01CC02,10627_tobramycin
trientine; oral,ATC 5th,A16AX12,10798_trientine
ALIMENTARY TRACT AND METABOLISM,ATC 1st,A,10798_trientine
OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,ATC 2nd,A16,10798_trientine
OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,ATC 3rd,A16A,10798_trientine
Various alimentary tract and metabolism products,ATC 4th,A16AX,10798_trientine
calcium (different salts in combination); oral,ATC 5th,A12AA20,10814_liothyronine
"heparin, combinations; parenteral",ATC 5th,B01AB51,10814_liothyronine
Iron in other combinations,ATC 4th,B03AE,10814_liothyronine
iron in other combinations - various combinations; systemic,ATC 5th,B03AE10,10814_liothyronine
VITAMIN B12 AND FOLIC ACID,ATC 3rd,B03B,10814_liothyronine
Vitamin B12 (cyanocobalamin and analogues),ATC 4th,B03BA,10814_liothyronine
"cyanocobalamin, combinations; systemic",ATC 5th,B03BA51,10814_liothyronine
"calcium dobesilate, combinations; oral, topical",ATC 5th,C05BX51,10814_liothyronine
combinations of corticosteroids; topical,ATC 5th,D07AB30,10814_liothyronine
"CORTICOSTEROIDS, OTHER COMBINATIONS",ATC 3rd,D07X,10814_liothyronine
"Corticosteroids, moderately potent, other combinations",ATC 4th,D07XB,10814_liothyronine
flumetasone; topical,ATC 5th,D07XB01,10814_liothyronine
combinations of corticosteroids; topical,ATC 5th,D07XB30,10814_liothyronine
"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",ATC 1st,H,10814_liothyronine
THYROID THERAPY,ATC 2nd,H03,10814_liothyronine
THYROID PREPARATIONS,ATC 3rd,H03A,10814_liothyronine
Thyroid hormones,ATC 4th,H03AA,10814_liothyronine
liothyronine sodium; systemic,ATC 5th,H03AA02,10814_liothyronine
combinations of levothyroxine and liothyronine; systemic,ATC 5th,H03AA03,10814_liothyronine
"procaine, combinations; parenteral",ATC 5th,N01BA52,10814_liothyronine
belimumab; parenteral,ATC 5th,L04AG04,1092437_belimumab
Monoclonal antibodies,ATC 4th,L04AG,1092437_belimumab
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,1092437_belimumab
IMMUNOSUPPRESSANTS,ATC 2nd,L04,1092437_belimumab
IMMUNOSUPPRESSANTS,ATC 3rd,L04A,1092437_belimumab
Selective immunosuppressants,ATC 4th,L04AA,1092437_belimumab
[U] belimumab,ATC 5th,L04AA26,1092437_belimumab
ipilimumab; parenteral,ATC 5th,L01FX04,1094833_ipilimumab
MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,ATC 3rd,L01F,1094833_ipilimumab
Other monoclonal antibodies and antibody drug conjugates,ATC 4th,L01FX,1094833_ipilimumab
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,1094833_ipilimumab
ANTINEOPLASTIC AGENTS,ATC 2nd,L01,1094833_ipilimumab
[U] ipilimumab,ATC 5th,L01XC11,1094833_ipilimumab
PROTEIN KINASE INHIBITORS,ATC 3rd,L01E,1098413_vandetanib
Other protein kinase inhibitors,ATC 4th,L01EX,1098413_vandetanib
vandetanib; oral,ATC 5th,L01EX04,1098413_vandetanib
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,1098413_vandetanib
ANTINEOPLASTIC AGENTS,ATC 2nd,L01,1098413_vandetanib
abiraterone and corticosteroids; oral,ATC 5th,L02BX53,1100072_abiraterone
niraparib and abiraterone; oral,ATC 5th,L01XK52,1100072_abiraterone
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,1100072_abiraterone
ENDOCRINE THERAPY,ATC 2nd,L02,1100072_abiraterone
HORMONE ANTAGONISTS AND RELATED AGENTS,ATC 3rd,L02B,1100072_abiraterone
Other hormone antagonists and related agents,ATC 4th,L02BX,1100072_abiraterone
abiraterone; oral,ATC 5th,L02BX03,1100072_abiraterone
dolutegravir and rilpivirine; systemic,ATC 5th,J05AR21,1102270_rilpivirine
"emtricitabine, tenofovir alafenamide and rilpivirine; systemic",ATC 5th,J05AR19,1102270_rilpivirine
ANTIINFECTIVES FOR SYSTEMIC USE,ATC 1st,J,1102270_rilpivirine
ANTIVIRALS FOR SYSTEMIC USE,ATC 2nd,J05,1102270_rilpivirine
DIRECT ACTING ANTIVIRALS,ATC 3rd,J05A,1102270_rilpivirine
Non-nucleoside reverse transcriptase inhibitors,ATC 4th,J05AG,1102270_rilpivirine
"Antivirals for treatment of HIV infections, combinations",ATC 4th,J05AR,1102270_rilpivirine
rilpivirine; oral,ATC 5th,J05AG05,1102270_rilpivirine
"emtricitabine, tenofovir disoproxil and rilpivirine; systemic",ATC 5th,J05AR08,1102270_rilpivirine
loteprednol and antiinfectives; ophthalmic,ATC 5th,S01CA12,1111103_fidaxomicin
"methylprednisolone and antiinfectives; ophthalmic, otic",ATC 5th,S03CA07,1111103_fidaxomicin
ALIMENTARY TRACT AND METABOLISM,ATC 1st,A,1111103_fidaxomicin
"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",ATC 2nd,A07,1111103_fidaxomicin
INTESTINAL ANTIINFECTIVES,ATC 3rd,A07A,1111103_fidaxomicin
Antibiotics,ATC 4th,A07AA,1111103_fidaxomicin
BLOOD AND BLOOD FORMING ORGANS,ATC 1st,B,1111103_fidaxomicin
BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,ATC 2nd,B05,1111103_fidaxomicin
IRRIGATING SOLUTIONS,ATC 3rd,B05C,1111103_fidaxomicin
Antiinfectives,ATC 4th,B05CA,1111103_fidaxomicin
antiinfectives - combinations; irrigating solution,ATC 5th,B05CA10,1111103_fidaxomicin
"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",ATC 3rd,D07C,1111103_fidaxomicin
"Corticosteroids, weak, combinations with antibiotics",ATC 4th,D07CA,1111103_fidaxomicin
hydrocortisone and antibiotics; topical,ATC 5th,D07CA01,1111103_fidaxomicin
methylprednisolone and antibiotics; topical,ATC 5th,D07CA02,1111103_fidaxomicin
prednisolone and antibiotics; topical,ATC 5th,D07CA03,1111103_fidaxomicin
"Corticosteroids, moderately potent, combinations with antibiotics",ATC 4th,D07CB,1111103_fidaxomicin
triamcinolone and antibiotics; topical,ATC 5th,D07CB01,1111103_fidaxomicin
fluprednidene and antibiotics; topical,ATC 5th,D07CB02,1111103_fidaxomicin
fluorometholone and antibiotics; topical,ATC 5th,D07CB03,1111103_fidaxomicin
dexamethasone and antibiotics; topical,ATC 5th,D07CB04,1111103_fidaxomicin
flumetasone and antibiotics; topical,ATC 5th,D07CB05,1111103_fidaxomicin
"Corticosteroids, potent, combinations with antibiotics",ATC 4th,D07CC,1111103_fidaxomicin
betamethasone and antibiotics; topical,ATC 5th,D07CC01,1111103_fidaxomicin
fluocinolone acetonide and antibiotics; topical,ATC 5th,D07CC02,1111103_fidaxomicin
fludroxycortide and antibiotics; topical,ATC 5th,D07CC03,1111103_fidaxomicin
beclometasone and antibiotics; topical,ATC 5th,D07CC04,1111103_fidaxomicin
fluocinonide and antibiotics; topical,ATC 5th,D07CC05,1111103_fidaxomicin
fluocortolone and antibiotics; topical,ATC 5th,D07CC06,1111103_fidaxomicin
"Corticosteroids, very potent, combinations with antibiotics",ATC 4th,D07CD,1111103_fidaxomicin
clobetasol and antibiotics; topical,ATC 5th,D07CD01,1111103_fidaxomicin
SENSORY ORGANS,ATC 1st,S,1111103_fidaxomicin
OPHTHALMOLOGICALS,ATC 2nd,S01,1111103_fidaxomicin
ANTIINFECTIVES,ATC 3rd,S01A,1111103_fidaxomicin
Antibiotics,ATC 4th,S01AA,1111103_fidaxomicin
antibiotics in combination with other drugs; ophthalmic,ATC 5th,S01AA20,1111103_fidaxomicin
ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,ATC 3rd,S01C,1111103_fidaxomicin
Corticosteroids and antiinfectives in combination,ATC 4th,S01CA,1111103_fidaxomicin
dexamethasone and antiinfectives; ophthalmic,ATC 5th,S01CA01,1111103_fidaxomicin
prednisolone and antiinfectives; ophthalmic,ATC 5th,S01CA02,1111103_fidaxomicin
hydrocortisone and antiinfectives; ophthalmic,ATC 5th,S01CA03,1111103_fidaxomicin
fluocortolone and antiinfectives; ophthalmic,ATC 5th,S01CA04,1111103_fidaxomicin
betamethasone and antiinfectives; ophthalmic,ATC 5th,S01CA05,1111103_fidaxomicin
fludrocortisone and antiinfectives; ophthalmic,ATC 5th,S01CA06,1111103_fidaxomicin
fluorometholone and antiinfectives; ophthalmic,ATC 5th,S01CA07,1111103_fidaxomicin
methylprednisolone and antiinfectives; ophthalmic,ATC 5th,S01CA08,1111103_fidaxomicin
chloroprednisone and antiinfectives; ophthalmic,ATC 5th,S01CA09,1111103_fidaxomicin
fluocinolone acetonide and antiinfectives; ophthalmic,ATC 5th,S01CA10,1111103_fidaxomicin
clobetasone and antiinfectives; ophthalmic,ATC 5th,S01CA11,1111103_fidaxomicin
"Antiinflammatory agents, non-steroids and antiinfectives in combination",ATC 4th,S01CC,1111103_fidaxomicin
diclofenac and antiinfectives; ophthalmic,ATC 5th,S01CC01,1111103_fidaxomicin
OTOLOGICALS,ATC 2nd,S02,1111103_fidaxomicin
ANTIINFECTIVES,ATC 3rd,S02A,1111103_fidaxomicin
Antiinfectives,ATC 4th,S02AA,1111103_fidaxomicin
"antiinfectives, combinations; otic",ATC 5th,S02AA30,1111103_fidaxomicin
CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,ATC 3rd,S02C,1111103_fidaxomicin
Corticosteroids and antiinfectives in combination,ATC 4th,S02CA,1111103_fidaxomicin
prednisolone and antiinfectives; otic,ATC 5th,S02CA01,1111103_fidaxomicin
flumetasone and antiinfectives; otic,ATC 5th,S02CA02,1111103_fidaxomicin
hydrocortisone and antiinfectives; otic,ATC 5th,S02CA03,1111103_fidaxomicin
triamcinolone and antiinfectives; otic,ATC 5th,S02CA04,1111103_fidaxomicin
fluocinolone acetonide and antiinfectives; otic,ATC 5th,S02CA05,1111103_fidaxomicin
dexamethasone and antiinfectives; otic,ATC 5th,S02CA06,1111103_fidaxomicin
fludrocortisone and antiinfectives; otic,ATC 5th,S02CA07,1111103_fidaxomicin
OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,ATC 2nd,S03,1111103_fidaxomicin
ANTIINFECTIVES,ATC 3rd,S03A,1111103_fidaxomicin
Antiinfectives,ATC 4th,S03AA,1111103_fidaxomicin
"antiinfectives, combinations; ophthalmic, otic",ATC 5th,S03AA30,1111103_fidaxomicin
CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,ATC 3rd,S03C,1111103_fidaxomicin
Corticosteroids and antiinfectives in combination,ATC 4th,S03CA,1111103_fidaxomicin
"dexamethasone and antiinfectives; ophthalmic, otic",ATC 5th,S03CA01,1111103_fidaxomicin
"prednisolone and antiinfectives; ophthalmic, otic",ATC 5th,S03CA02,1111103_fidaxomicin
"hydrocortisone and antiinfectives; ophthalmic, otic",ATC 5th,S03CA04,1111103_fidaxomicin
"fludrocortisone and antiinfectives; ophthalmic, otic",ATC 5th,S03CA05,1111103_fidaxomicin
"betamethasone and antiinfectives; ophthalmic, otic",ATC 5th,S03CA06,1111103_fidaxomicin
fidaxomicin; oral,ATC 5th,A07AA12,1111103_fidaxomicin
indometacin and antiinfectives; ophthalmic,ATC 5th,S01CC02,1111103_fidaxomicin
vancomycin; ophthalmic,ATC 5th,S01AA28,11124_vancomycin
loteprednol and antiinfectives; ophthalmic,ATC 5th,S01CA12,11124_vancomycin
"methylprednisolone and antiinfectives; ophthalmic, otic",ATC 5th,S03CA07,11124_vancomycin
ALIMENTARY TRACT AND METABOLISM,ATC 1st,A,11124_vancomycin
"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",ATC 2nd,A07,11124_vancomycin
INTESTINAL ANTIINFECTIVES,ATC 3rd,A07A,11124_vancomycin
Antibiotics,ATC 4th,A07AA,11124_vancomycin
vancomycin; oral,ATC 5th,A07AA09,11124_vancomycin
BLOOD AND BLOOD FORMING ORGANS,ATC 1st,B,11124_vancomycin
"heparin, combinations; parenteral",ATC 5th,B01AB51,11124_vancomycin
BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,ATC 2nd,B05,11124_vancomycin
electrolytes; parenteral,ATC 5th,B05BB01,11124_vancomycin
electrolytes with carbohydrates; parenteral,ATC 5th,B05BB02,11124_vancomycin
IRRIGATING SOLUTIONS,ATC 3rd,B05C,11124_vancomycin
Antiinfectives,ATC 4th,B05CA,11124_vancomycin
antiinfectives - combinations; irrigating solution,ATC 5th,B05CA10,11124_vancomycin
combinations of electrolytes; parenteral,ATC 5th,B05XA30,11124_vancomycin
electrolytes in combination with other drugs; parenteral,ATC 5th,B05XA31,11124_vancomycin
"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",ATC 3rd,D07C,11124_vancomycin
"Corticosteroids, weak, combinations with antibiotics",ATC 4th,D07CA,11124_vancomycin
hydrocortisone and antibiotics; topical,ATC 5th,D07CA01,11124_vancomycin
methylprednisolone and antibiotics; topical,ATC 5th,D07CA02,11124_vancomycin
prednisolone and antibiotics; topical,ATC 5th,D07CA03,11124_vancomycin
"Corticosteroids, moderately potent, combinations with antibiotics",ATC 4th,D07CB,11124_vancomycin
triamcinolone and antibiotics; topical,ATC 5th,D07CB01,11124_vancomycin
fluprednidene and antibiotics; topical,ATC 5th,D07CB02,11124_vancomycin
fluorometholone and antibiotics; topical,ATC 5th,D07CB03,11124_vancomycin
dexamethasone and antibiotics; topical,ATC 5th,D07CB04,11124_vancomycin
flumetasone and antibiotics; topical,ATC 5th,D07CB05,11124_vancomycin
"Corticosteroids, potent, combinations with antibiotics",ATC 4th,D07CC,11124_vancomycin
betamethasone and antibiotics; topical,ATC 5th,D07CC01,11124_vancomycin
fluocinolone acetonide and antibiotics; topical,ATC 5th,D07CC02,11124_vancomycin
fludroxycortide and antibiotics; topical,ATC 5th,D07CC03,11124_vancomycin
beclometasone and antibiotics; topical,ATC 5th,D07CC04,11124_vancomycin
fluocinonide and antibiotics; topical,ATC 5th,D07CC05,11124_vancomycin
